2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Log saved in- logs/protocol_1_ViT-B-16_2024-11-19 22:37:20
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Training cfgs- Namespace(aug_mix=0.6, backbone='ViT-B-16', batch_size=128, beta=0.1, checkpoint_period=60, classes=[1502, 11934, 1816, 1467], color_jitter=0.1, combine_all=True, data_path='/data/ReidShareDataset', device_id='1', epsilon=0.1, eval_period=10, gray_scale=0.1, image_encoder_epoch=60, image_encoder_lr=5e-06, lamda=0.01, log_path='logs', log_period=100, model='clip', num_instance=4, num_workers=8, omega=0.01, optimizer='Adam', pad=10, prior_epoch=3, prompt_domain_epoch=30, prompt_epoch=120, prompt_lr=0.00035, random_erasing=0.0, random_horizontal_flip=0.4, sampling_method='PK', size_train=[224, 224], train_datasets=['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03'], weight_decay=0.0001)
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Running protocol- ['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03']->['PRID', 'GRID', 'VIPeR', 'iLIDS']
2024-11-19 22:37:22,246 clip_ViT-B-16_train INFO: start stage-prior training
2024-11-19 23:00:06,735 clip_ViT-B-16_train INFO: STAGE1-Epoch[2] Iteration[500/689] Domain_Acc: 0.866 Loss: 2.999, Base Lr: 4.01e-03
2024-11-19 23:00:13,722 clip_ViT-B-16_train INFO: STAGE1-Epoch[2] Iteration[600/689] Domain_Acc: 0.870 Loss: 2.937, Base Lr: 4.01e-03
2024-11-19 23:00:26,851 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[100/689] Domain_Acc: 0.882 Loss: 1.646, Base Lr: 6.00e-03
2024-11-19 23:00:33,846 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[200/689] Domain_Acc: 0.887 Loss: 1.595, Base Lr: 6.00e-03
2024-11-19 23:00:40,838 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[300/689] Domain_Acc: 0.888 Loss: 1.563, Base Lr: 6.00e-03
2024-11-19 23:00:47,811 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[400/689] Domain_Acc: 0.889 Loss: 1.528, Base Lr: 6.00e-03
2024-11-19 23:00:54,807 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[500/689] Domain_Acc: 0.892 Loss: 1.503, Base Lr: 6.00e-03
2024-11-19 23:01:01,790 clip_ViT-B-16_train INFO: STAGE1-Epoch[3] Iteration[600/689] Domain_Acc: 0.894 Loss: 1.476, Base Lr: 6.00e-03
2024-11-19 23:01:14,945 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[100/689] Domain_Acc: 0.901 Loss: 0.973, Base Lr: 8.00e-03
2024-11-19 23:01:22,015 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[200/689] Domain_Acc: 0.901 Loss: 0.986, Base Lr: 8.00e-03
